icd9in,icd9un,icd10in,icd10un
,E850.82,,V56.7
,E850.83,,V56.9
,E850.84,,V57 
,E850.85,,V57.0
,E850.86,,V57.1
,E850.87,,V57.2
,E850.88,,V57.3
,E850.89,,V57.4
,E855,,V57.5
,E855.0,,V57.6
,E855.00,,V57.7
,E855.01,,V57.9
,E855.02,,V58 
,E855.03,,V58.0
,E855.04,,V58.1
,E855.05,,V58.2
,E855.06,,V58.3
,E855.07,,V58.4
,E855.08,,V58.5
,E855.09,,V58.6
,E855.1,,V58.7
,E855.10,,V58.9
,E855.11,,V59 
,E855.12,,V59.0 
,E855.13,,V59.1 
,E855.14,,V59.2 
,E855.15,,V59.3 
,E855.16,,V59.4 
,E855.17,,V59.5 
,E855.18,,V59.6 
,E855.19,,V59.8 
,E855.2,,V59.9 
,E855.20,,V60 
,E855.21,,V60.0
,E855.22,,V60.1
,E855.23,,V60.2
,E855.24,,V60.3
,E855.25,,V60.4
,E855.26,,V60.5
,E855.27,,V60.6
,E855.28,,V60.7
,E855.29,,V60.9
,E855.3,,V61 
,E855.30,,V61.0
,E855.31,,V61.1
,E855.32,,V61.2
,E855.33,,V61.3
,E855.34,,V61.4
,E855.35,,V61.5
,E855.36,,V61.6
,E855.37,,V61.7
,E855.38,,V61.9
,E855.39,,V62 
,E855.4,,V62.0
,E855.40,,V62.1
,E855.41,,V62.2
,E855.42,,V62.3
,E855.43,,V62.4
,E855.44,,V62.5
,E855.45,,V62.6
,E855.46,,V62.7
,E855.47,,V62.9
,E855.48,,V63 
,E855.49,,V63.0
,E855.5,,V63.1
,E855.50,,V63.2
,E855.51,,V63.3
,E855.52,,V63.4
,E855.53,,V63.5
,E855.54,,V63.6
,E855.55,,V63.7
,E855.56,,V63.9
,E855.57,,V64 
,E855.58,,V64.0
,E855.59,,V64.1
,E855.6,,V64.2
,E855.60,,V64.3
,E855.61,,V64.4
,E855.62,,V64.5
,E855.63,,V64.6
,E855.64,,V64.7
,E855.65,,V64.9
,E855.66,,V65 
,E855.67,,V65.0
,E855.68,,V65.1
,E855.69,,V65.2
,E855.8,,V65.3
,E855.80,,V65.4
,E855.81,,V65.5
,E855.82,,V65.6
,E855.83,,V65.7
,E855.84,,V65.9
,E855.85,,V66 
,E855.86,,V66.0
,E855.87,,V66.1
,E855.88,,V66.2
,E855.89,,V66.3
,E855.9,,V66.4
,E855.90,,V66.5
,E855.91,,V66.6
,E855.92,,V66.7
,E855.93,,V66.9
,E855.94,,V67 
,E855.95,,V67.0
,E855.96,,V67.1
,E855.97,,V67.2
,E855.98,,V67.3
,E855.99,,V67.4
,E856,,V67.5
,E856.0,,V67.6
,E856.00,,V67.7
,E856.01,,V67.9
,E856.02,,V68 
,E856.03,,V68.0
,E856.04,,V68.1
,E856.05,,V68.2
,E856.06,,V68.3
,E856.07,,V68.4
,E856.08,,V68.5
,E856.09,,V68.6
,E857,,V68.7
,E857.0,,V68.9
,E857.00,,V69 
