"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,50,2011,"40",130854,130802,52,0.0397389456952023
1,50,2011,"41",134741,134442,299,0.22190721458205
1,50,2011,"42",486211,485113,1098,0.225827881310789
1,50,2011,"44",39035,39103,68,0.174202638657615
1,50,2011,"45",159651,159480,171,0.107108630700716
1,50,2011,"46",30047,29962,85,0.282890138782574
1,50,2011,"47",224349,224073,276,0.123022612090983
1,50,2011,"48",847460,847614,154,0.0181719491185425
1,50,2011,"49",76724,76745,21,0.0273708357228507
1,50,2011,"50",25784,25710,74,0.286999689730065
1,50,2011,"51",293486,294144,658,0.224201495130943
1,50,2011,"53",247642,247176,466,0.188174865329791
1,50,2011,"54",69897,69639,258,0.369114554272716
1,50,2011,"55",220805,220862,57,0.0258146328208147
1,50,2011,"56",22126,21947,179,0.809002982916026
1,5,2011,"01",155515,155419,96,0.0617303797061377
1,5,2011,"02",26090,26305,215,0.824070525105404
1,5,2011,"04",230825,229695,1130,0.48954835914654
1,5,2011,"05",100677,100754,77,0.0764822154017303
1,5,2011,"06",1286705,1283674,3031,0.235562930119958
1,5,2011,"08",179474,179577,103,0.0573899283461671
1,5,2011,"09",112314,112331,17,0.0151361361896113
1,5,2011,"10",28687,28650,37,0.128978282845888
1,5,2011,"11",13753,13394,359,2.61033956227732
1,5,2011,"12",551227,553385,2158,0.391490257189869
1,5,2011,"13",354460,353692,768,0.216667607064267
1,5,2011,"15",43391,43261,130,0.299601299808716
1,5,2011,"16",62135,62244,109,0.17542447895711
1,5,2011,"17",435859,434565,1294,0.296885001801041
1,5,2011,"18",225695,226080,385,0.170584195485057
