"stateFips","sex","age","year","pop.new"
"26",2,10,2015,310500
"46",1,30,2015,29202
"26",2,0,2015,278712
"26",1,80,2015,77411
"44",2,35,2015,30856
"26",1,65,2015,252969
"49",1,55,2015,74825
"48",2,50,2015,892185
"26",1,60,2015,313254
"12",2,75,2015,387262
"26",1,50,2015,356165
"27",1,25,2015,185750
"26",1,45,2015,323425
"10",2,5,2015,27883
"26",1,40,2015,297141
"26",1,35,2015,285464
"10",1,75,2015,12434
"25",2,80,2015,77326
"56",2,60,2015,19008
"12",1,65,2015,565867
"25",2,75,2015,95421
"25",2,65,2015,184335
"31",2,20,2015,67985
"25",2,45,2015,240532
"25",2,40,2015,215680
"46",2,60,2015,27310
"08",2,85,2015,54476
"25",2,35,2015,210482
"47",1,60,2015,190699
"19",2,45,2015,92275
"25",2,20,2015,247165
"38",2,10,2015,21779
"25",2,15,2015,227033
"42",1,5,2015,376846
"29",2,60,2015,195748
"46",2,0,2015,29794
"25",2,10,2015,194065
"49",1,30,2015,114513
"25",2,0,2015,179090
"25",1,80,2015,52263
"47",2,35,2015,209210
"25",1,65,2015,162338
"51",2,50,2015,309440
"48",1,55,2015,812433
"25",1,60,2015,198817
"28",2,50,2015,104187
"25",1,55,2015,235858
"13",2,5,2015,345782
"25",1,40,2015,205140
"25",1,35,2015,202791
"09",1,75,2015,39719
"24",2,80,2015,59122
"11",1,65,2015,11576
"24",2,75,2015,78596
"21",1,55,2015,150182
"24",2,50,2015,235022
"48",1,60,2015,666555
"30",2,20,2015,35323
"24",2,45,2015,216051
"24",2,40,2015,197958
"45",2,60,2015,167338
"06",2,85,2015,451074
"24",2,35,2015,196190
"05",1,30,2015,96183
"24",2,30,2015,210042
"54",2,65,2015,59662
"25",2,55,2015,251655
"05",1,25,2015,98404
"24",2,25,2015,211045
"41",1,60,2015,129952
"24",2,20,2015,196115
"33",2,10,2015,38595
"24",2,15,2015,189214
"53",1,65,2015,177261
"37",1,5,2015,328436
"28",2,60,2015,93819
"45",2,0,2015,141823
"24",2,10,2015,183800
"44",1,30,2015,33855
"24",2,0,2015,180513
"50",2,65,2015,19513
"24",1,80,2015,40169
"41",2,35,2015,133108
"24",1,65,2015,135232
"47",1,55,2015,216136
"46",2,50,2015,28477
"24",1,60,2015,166512
"13",1,30,2015,335512
"27",2,30,2015,190342
"23",2,50,2015,53866
"24",1,55,2015,203039
"10",2,75,2015,15003
"24",1,50,2015,216886
"56",2,5,2015,19982
"25",1,25,2015,243326
"24",1,45,2015,200353
"08",2,5,2015,173477
"24",1,40,2015,184810
"24",1,35,2015,188867
"08",1,75,2015,52279
"23",2,80,2015,17638
"54",2,60,2015,67491
"10",1,65,2015,25696
"23",2,75,2015,22630
"23",2,65,2015,44122
"51",1,60,2015,232599
"29",2,20,2015,211519
"23",2,45,2015,45992
"23",2,40,2015,40595
"44",2,60,2015,35190
"05",2,85,2015,36688
"23",2,35,2015,36900
"53",2,65,2015,191673
"28",2,55,2015,104448
"09",1,25,2015,113304
"23",2,25,2015,39283
"45",1,60,2015,144050
"23",2,20,2015,37822
"36",2,10,2015,567321
"23",2,15,2015,39233
"56",1,65,2015,15622
"40",1,5,2015,138153
"27",2,60,2015,170196
"44",2,0,2015,26966
"23",2,10,2015,35922
"04",1,15,2015,236191
"23",2,5,2015,34052
"47",1,30,2015,210408
"23",2,0,2015,31469
"23",1,80,2015,13045
"45",2,35,2015,150422
"23",1,65,2015,42244
"49",2,50,2015,77435
"46",1,55,2015,29714
"23",1,60,2015,48086
"12",1,30,2015,632950
"30",2,30,2015,32215
"26",2,50,2015,366247
"23",1,55,2015,52753
"13",2,75,2015,123897
"23",1,50,2015,51549
"11",2,5,2015,16293
"23",1,40,2015,39043
"23",1,35,2015,36212
"42",2,70,2015,271169
"23",1,30,2015,37594
"23",1,10,2015,38035
"06",1,75,2015,388278
"22",2,80,2015,47021
"09",1,65,2015,85417
"22",2,75,2015,63902
"19",1,55,2015,107870
"22",2,50,2015,163397
"22",2,40,2015,139377
"42",2,60,2015,433844
"04",2,85,2015,79265
"22",2,35,2015,149285
"02",1,30,2015,30108
"22",2,30,2015,167176
"39",1,60,2015,359472
"22",2,20,2015,168015
"35",1,5,2015,71381
"26",2,60,2015,336299
"42",2,0,2015,349348
"22",2,10,2015,149327
"22",2,5,2015,153295
"55",2,15,2015,187140
"41",1,30,2015,140751
"22",2,0,2015,152314
"48",2,65,2015,595417
"22",1,80,2015,31447
"39",2,35,2015,347702
"22",1,65,2015,106789
"45",1,55,2015,157685
"44",2,50,2015,40769
"22",1,60,2015,132815
"11",1,30,2015,35291
"25",2,30,2015,230406
"21",2,50,2015,161041
"22",1,55,2015,154009
"08",2,75,2015,62066
"22",1,50,2015,153968
"54",2,5,2015,50802
"23",1,25,2015,39391
"22",1,45,2015,139512
"05",2,5,2015,96511
"22",1,40,2015,135160
"22",1,35,2015,146989
"37",2,70,2015,205363
"22",1,30,2015,164911
"22",1,10,2015,155538
"31",2,55,2015,63424
"55",1,40,2015,171601
"12",1,25,2015,687013
"30",2,25,2015,31701
"15",2,15,2015,38362
"22",2,70,2015,86945
"21",2,85,2015,52001
"05",1,75,2015,38587
"21",2,80,2015,47129
"08",1,65,2015,126708
"21",2,75,2015,65559
"34",1,5,2015,277984
"21",2,60,2015,143471
"21",2,40,2015,140308
"41",2,60,2015,140885
"02",2,85,2015,3821
"21",2,35,2015,139176
"06",1,30,2015,1446626
"21",2,30,2015,140176
"26",2,55,2015,375825
"06",1,25,2015,1549002
"21",2,25,2015,142585
"42",1,60,2015,406453
"21",2,20,2015,150417
"34",2,10,2015,278483
"21",2,15,2015,138969
"54",1,65,2015,56649
