"cause","cause.sub","icd"
"9345","Other external causes of injury",9
"9346","Other external causes of injury",9
"9347","Other external causes of injury",9
"9348","Other external causes of injury",9
"9349","Other external causes of injury",9
"9350","Other external causes of injury",9
"9351","Other external causes of injury",9
"9352","Other external causes of injury",9
"9353","Other external causes of injury",9
"9354","Other external causes of injury",9
"9355","Other external causes of injury",9
"9358","Other external causes of injury",9
"9359","Other external causes of injury",9
"9360","Other external causes of injury",9
"9361","Other external causes of injury",9
"9363","Other external causes of injury",9
"9364","Other external causes of injury",9
"9370","Other external causes of injury",9
"9371","Other external causes of injury",9
"9375","Other external causes of injury",9
"9379","Other external causes of injury",9
"9380","Other external causes of injury",9
"9381","Other external causes of injury",9
"9382","Other external causes of injury",9
"9383","Other external causes of injury",9
"9384","Other external causes of injury",9
"9385","Other external causes of injury",9
"9386","Other external causes of injury",9
"9387","Other external causes of injury",9
"9389","Other external causes of injury",9
"9390","Other external causes of injury",9
"9391","Other external causes of injury",9
"9392","Other external causes of injury",9
"9393","Other external causes of injury",9
"9394","Other external causes of injury",9
"9395","Other external causes of injury",9
"9396","Other external causes of injury",9
"9397","Other external causes of injury",9
"9398","Other external causes of injury",9
"9399","Other external causes of injury",9
"9400","Other external causes of injury",9
"9401","Other external causes of injury",9
"9408","Other external causes of injury",9
"9409","Other external causes of injury",9
"9410","Other external causes of injury",9
"9411","Other external causes of injury",9
"9412","Other external causes of injury",9
"9413","Other external causes of injury",9
"9419","Other external causes of injury",9
"9420","Other external causes of injury",9
"9421","Other external causes of injury",9
"9422","Other external causes of injury",9
"9424","Other external causes of injury",9
"9426","Other external causes of injury",9
"9428","Other external causes of injury",9
"9429","Other external causes of injury",9
"9430","Other external causes of injury",9
"9433","Other external causes of injury",9
"9434","Other external causes of injury",9
"9441","Other external causes of injury",9
"9442","Other external causes of injury",9
"9443","Other external causes of injury",9
"9444","Other external causes of injury",9
"9445","Other external causes of injury",9
"9446","Other external causes of injury",9
"9447","Other external causes of injury",9
"9452","Other external causes of injury",9
"9454","Other external causes of injury",9
"9455","Other external causes of injury",9
"9456","Other external causes of injury",9
"9457","Other external causes of injury",9
"9458","Other external causes of injury",9
"9460","Other external causes of injury",9
"9461","Other external causes of injury",9
"9463","Other external causes of injury",9
"9464","Other external causes of injury",9
"9465","Other external causes of injury",9
"9466","Other external causes of injury",9
"9467","Other external causes of injury",9
"9468","Other external causes of injury",9
"9469","Other external causes of injury",9
"9470","Other external causes of injury",9
"9471","Other external causes of injury",9
"9473","Other external causes of injury",9
"9474","Other external causes of injury",9
"9478","Other external causes of injury",9
"9479","Other external causes of injury",9
"9480","Other external causes of injury",9
"9481","Other external causes of injury",9
"9484","Other external causes of injury",9
"9485","Other external causes of injury",9
"9486","Other external causes of injury",9
"9488","Other external causes of injury",9
"9489","Other external causes of injury",9
"9491","Other external causes of injury",9
"9494","Other external causes of injury",9
"9496","Other external causes of injury",9
"9499","Other external causes of injury",9
"9800","Other external causes of injury",9
"9801","Other external causes of injury",9
"9802","Other external causes of injury",9
"9803","Other external causes of injury",9
"9804","Other external causes of injury",9
"9805","Other external causes of injury",9
"9806","Other external causes of injury",9
"9807","Other external causes of injury",9
"9808","Other external causes of injury",9
"9809","Other external causes of injury",9
"9810","Other external causes of injury",9
"9811","Other external causes of injury",9
"9818","Other external causes of injury",9
"9820","Other external causes of injury",9
"9821","Other external causes of injury",9
"9828","Other external causes of injury",9
"9829","Other external causes of injury",9
"9830","Other external causes of injury",9
"9831","Other external causes of injury",9
"9838","Other external causes of injury",9
"9839","Other external causes of injury",9
"9840","Other external causes of injury",9
"9850","Other external causes of injury",9
"9851","Other external causes of injury",9
"9852","Other external causes of injury",9
"9853","Other external causes of injury",9
"9854","Other external causes of injury",9
"9855","Other external causes of injury",9
"9860","Other external causes of injury",9
"9870","Other external causes of injury",9
"9871","Other external causes of injury",9
"9872","Other external causes of injury",9
"9879","Other external causes of injury",9
"9880","Other external causes of injury",9
"9881","Other external causes of injury",9
"9882","Other external causes of injury",9
"9883","Other external causes of injury",9
"9884","Other external causes of injury",9
"9885","Other external causes of injury",9
"9886","Other external causes of injury",9
"9887","Other external causes of injury",9
"9888","Other external causes of injury",9
"9889","Other external causes of injury",9
"9890","Other external causes of injury",9
"W200","Other external causes of injury",10
"W210","Other external causes of injury",10
"W220","Other external causes of injury",10
"W230","Other external causes of injury",10
"W240","Other external causes of injury",10
"W250","Other external causes of injury",10
"W260","Other external causes of injury",10
"W270","Other external causes of injury",10
"W280","Other external causes of injury",10
"W290","Other external causes of injury",10
"W300","Other external causes of injury",10
"W310","Other external causes of injury",10
"W320","Other external causes of injury",10
"W330","Other external causes of injury",10
"W340","Other external causes of injury",10
"W350","Other external causes of injury",10
"W360","Other external causes of injury",10
"W370","Other external causes of injury",10
"W380","Other external causes of injury",10
"W390","Other external causes of injury",10
"W400","Other external causes of injury",10
"W410","Other external causes of injury",10
"W420","Other external causes of injury",10
"W440","Other external causes of injury",10
"W450","Other external causes of injury",10
"W460","Other external causes of injury",10
"W490","Other external causes of injury",10
"W500","Other external causes of injury",10
"W510","Other external causes of injury",10
"W520","Other external causes of injury",10
"W530","Other external causes of injury",10
"W540","Other external causes of injury",10
"W550","Other external causes of injury",10
"W560","Other external causes of injury",10
"W570","Other external causes of injury",10
"W580","Other external causes of injury",10
"W590","Other external causes of injury",10
"W600","Other external causes of injury",10
"W640","Other external causes of injury",10
"W750","Other external causes of injury",10
"W760","Other external causes of injury",10
"W770","Other external causes of injury",10
"W780","Other external causes of injury",10
"W790","Other external causes of injury",10
"W800","Other external causes of injury",10
"W810","Other external causes of injury",10
"W830","Other external causes of injury",10
